DATE,AIRLINE_CODE,AIRLINE_NAME,AIRPORT_CODE,AIRPORT_NAME,ASM_DOMESTIC,ASM_INTERNATIONAL,FLIGHTS_DOMESTIC,FLIGHTS_INTERNATIONAL,PASSENGERS_DOMESTIC,PASSENGERS_INTERNATIONAL,RPM_DOMESTIC,RPM_INTERNATIONAL,RPM_TOTAL
2002-01-10,FA,Flock Air,FKT,Flocktopia,59854,,774,,60464,59,38363,0,38363
2002-01-11,FA,Flock Air,FKT,Flocktopia,55009,,733,,57649,,36286,0,36286
2002-01-12,FA,Flock Air,FKT,Flocktopia,56586,,745,,66240,,41907,0,41907
2003-01-01,FA,Flock Air,FKT,Flocktopia,57448,,754,,55317,4,35118,0,35118
2003-01-02,FA,Flock Air,FKT,Flocktopia,54006,,674,,53216,65,33724,0,33724
2003-01-03,FA,Flock Air,FKT,Flocktopia,61306,,755,,62656,68,39839,0,39839
2003-01-04,FA,Flock Air,FKT,Flocktopia,59205,,739,,60998,98,38776,0,38776
2003-01-05,FA,Flock Air,FKT,Flocktopia,60778,,750,,66503,191,42659,0,42659
2003-01-06,FA,Flock Air,FKT,Flocktopia,58660,,749,,71537,153,45628,0,45628
2003-01-07,FA,Flock Air,FKT,Flocktopia,58967,,769,,72092,270,46152,0,46152
2003-01-08,FA,Flock Air,FKT,Flocktopia,59835,,758,,64000,104,41162,0,41162
2003-01-09,FA,Flock Air,FKT,Flocktopia,58603,,743,,55447,58,35554,0,35554
2003-01-10,FA,Flock Air,FKT,Flocktopia,61480,,773,,62865,58,40381,0,40381
2003-01-11,FA,Flock Air,FKT,Flocktopia,54231,,656,,50931,141,34286,0,34286
2003-01-12,FA,Flock Air,FKT,Flocktopia,56589,,687,,56330,183,37553,0,37553
2004-01-01,FA,Flock Air,FKT,Flocktopia,56186,,690,,50075,61,33625,0,33625
2004-01-02,FA,Flock Air,FKT,Flocktopia,50340,,621,,47066,35,31355,0,31355
2004-01-03,FA,Flock Air,FKT,Flocktopia,56737,,701,,57356,36,38286,0,38286
2004-01-04,FA,Flock Air,FKT,Flocktopia,56421,,687,,57307,43,38421,0,38421
2004-01-05,FA,Flock Air,FKT,Flocktopia,57392,,683,,59912,,40018,0,40018
2004-01-06,FA,Flock Air,FKT,Flocktopia,55382,,651,,59962,,40070,0,40070
2004-01-07,FA,Flock Air,FKT,Flocktopia,54610,,641,,58393,,39071,0,39071
2004-01-08,FA,Flock Air,FKT,Flocktopia,53930,,630,,51419,,34625,0,34625
2004-01-09,FA,Flock Air,FKT,Flocktopia,49847,,574,,47245,,32005,0,32005
2004-01-10,FA,Flock Air,FKT,Flocktopia,54755,,633,,56010,,37756,0,37756
2004-01-11,FA,Flock Air,FKT,Flocktopia,53410,,618,,53956,,36278,0,36278
2004-01-12,FA,Flock Air,FKT,Flocktopia,55263,,640,,60175,,40453,0,40453
2005-01-01,FA,Flock Air,FKT,Flocktopia,51011,,592,,46815,,31525,0,31525
2005-01-02,FA,Flock Air,FKT,Flocktopia,47408,,548,,47022,,31421,0,31421
2005-01-03,FA,Flock Air,FKT,Flocktopia,54469,,619,,58225,,38784,0,38784
2005-01-04,FA,Flock Air,FKT,Flocktopia,56520,,620,,56697,146,38066,0,38066
2005-01-05,FA,Flock Air,FKT,Flocktopia,60153,,650,,60327,160,40416,0,40416
2005-01-06,FA,Flock Air,FKT,Flocktopia,65703,,699,,69660,256,47284,0,47284
2005-01-07,FA,Flock Air,FKT,Flocktopia,68125,,722,,71360,341,48682,0,48682
2005-01-08,FA,Flock Air,FKT,Flocktopia,67223,,711,,61817,234,42603,0,42603
2005-01-09,FA,Flock Air,FKT,Flocktopia,64583,,680,,62012,118,42467,0,42467
2005-01-10,FA,Flock Air,FKT,Flocktopia,63408,,668,,66786,178,45712,0,45712
2005-01-11,FA,Flock Air,FKT,Flocktopia,61262,,644,,67391,48,46252,0,46252
2005-01-12,FA,Flock Air,FKT,Flocktopia,61800,,650,,70801,73,48229,0,48229
2006-01-01,FA,Flock Air,FKT,Flocktopia,62079,,655,,57655,35,39429,0,39429
2006-01-02,FA,Flock Air,FKT,Flocktopia,55361,,584,,56441,47,38536,0,38536
2006-01-03,FA,Flock Air,FKT,Flocktopia,62742,,661,,69593,74,47338,0,47338
2006-01-04,FA,Flock Air,FKT,Flocktopia,66036,,696,,74414,87,50720,0,50720
2006-01-05,FA,Flock Air,FKT,Flocktopia,68562,,722,,78972,212,54139,0,54139
2006-01-06,FA,Flock Air,FKT,Flocktopia,67165,,708,,79307,264,54173,0,54173
2006-01-07,FA,Flock Air,FKT,Flocktopia,67248,,710,,76982,361,52706,0,52706
2006-01-08,FA,Flock Air,FKT,Flocktopia,68005,,716,,65043,169,44676,0,44676
2006-01-09,FA,Flock Air,FKT,Flocktopia,62392,,655,,58299,102,39941,0,39941
2006-01-10,FA,Flock Air,FKT,Flocktopia,65455,,687,,65844,131,44926,0,44926
2006-01-11,FA,Flock Air,FKT,Flocktopia,61786,,649,,64960,142,44509,0,44509
2006-01-12,FA,Flock Air,FKT,Flocktopia,63029,,661,,68272,127,46582,0,46582
2007-01-01,FA,Flock Air,FKT,Flocktopia,63259,,664,,60206,118,41131,0,41131
2007-01-02,FA,Flock Air,FKT,Flocktopia,55289,,579,,57392,42,39295,0,39295
2007-01-03,FA,Flock Air,FKT,Flocktopia,63802,,668,,71184,80,48484,0,48484
2007-01-04,FA,Flock Air,FKT,Flocktopia,64960,,676,,69967,35,48008,0,48008
2007-01-05,FA,Flock Air,FKT,Flocktopia,68074,,709,,73728,9,50339,0,50339
2007-01-06,FA,Flock Air,FKT,Flocktopia,65374,,678,,76072,38,52026,0,52026
2007-01-07,FA,Flock Air,FKT,Flocktopia,67771,107,703,1,77005,12,52592,88,52680
2007-01-08,FA,Flock Air,FKT,Flocktopia,68779,,711,,74170,20,50930,0,50930
2007-01-09,FA,Flock Air,FKT,Flocktopia,64457,,668,,64897,34,44276,0,44276
2007-01-10,FA,Flock Air,FKT,Flocktopia,68466,,707,,71648,56,48898,0,48898
2007-01-11,FA,Flock Air,FKT,Flocktopia,64764,,669,,67568,33,46242,0,46242
2007-01-12,FA,Flock Air,FKT,Flocktopia,66857,,687,,66547,31,45862,0,45862
2008-01-01,FA,Flock Air,FKT,Flocktopia,64953,,669,,57092,7,39242,0,39242
2008-01-02,FA,Flock Air,FKT,Flocktopia,60901,,626,,59175,22,40633,0,40633
2008-01-03,FA,Flock Air,FKT,Flocktopia,64161,,661,,69906,32,48187,0,48187
2008-01-04,FA,Flock Air,FKT,Flocktopia,62835,,645,,63995,161,43962,0,43962
2008-01-05,FA,Flock Air,FKT,Flocktopia,67912,,697,,68133,162,46738,0,46738
2008-01-06,FA,Flock Air,FKT,Flocktopia,66335,,683,,68780,224,47099,0,47099
2008-01-07,FA,Flock Air,FKT,Flocktopia,69194,,710,,69416,267,47691,0,47691
2008-01-08,FA,Flock Air,FKT,Flocktopia,67369,107,692,1,61618,235,42427,60,42487
2008-01-09,FA,Flock Air,FKT,Flocktopia,65978,,681,,52321,49,35867,0,35867
2008-01-10,FA,Flock Air,FKT,Flocktopia,68695,,708,,59440,30,40489,0,40489
2008-01-11,FA,Flock Air,FKT,Flocktopia,53060,,555,,47032,75,31827,0,31827
2008-01-12,FA,Flock Air,FKT,Flocktopia,54601,,570,,54271,67,36446,0,36446
2009-01-01,FA,Flock Air,FKT,Flocktopia,52903,,554,,44906,51,30282,0,30282
2009-01-02,FA,Flock Air,FKT,Flocktopia,48424,,508,,44844,71,30114,0,30114
2009-01-03,FA,Flock Air,FKT,Flocktopia,54011,,565,,57072,82,38188,0,38188
2009-01-04,FA,Flock Air,FKT,Flocktopia,54179,,567,,61197,56,41005,0,41005
