FLIGHT_ID,AIRLINE_CODE,AIRLINE_NAME,AIRCRAFT_ID,AIRCRAFT_TYPE,CAPACITY,DEPARTURE_AIRPORT_CODE,DEPARTURE_AIRPORT_NAME,DESTINATION_AIRPORT_CODE,DESTINATION_AIRPORT_NAME
100001,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100002,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100003,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100004,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100005,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100006,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100007,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100008,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100009,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100010,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100011,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100012,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100013,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100014,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100015,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100016,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100017,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100018,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100019,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100020,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100021,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100022,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
100023,FA,Flock Air,12d,Flockinator,1000,FKT,Flocktopia,NSA,Nestland Airport
