index,Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International,Airline_Code,Airport_Code
0,01/10/2002,59854,,774,,60464,59,38363,,FA,FKT
1,01/11/2002,55009,,733,,57649,,36286,,FA,FKT
2,01/12/2002,56586,,745,,66240,,41907,,FA,FKT
3,01/01/2003,57448,,754,,55317,4,35118,,FA,FKT
4,01/02/2003,54006,,674,,53216,65,33724,,FA,FKT
5,01/03/2003,61306,,755,,62656,68,39839,,FA,FKT
6,01/04/2003,59205,,739,,60998,98,38776,,FA,FKT
7,01/05/2003,60778,,750,,66503,191,42659,,FA,FKT
8,01/06/2003,58660,,749,,71537,153,45628,,FA,FKT
9,01/07/2003,58967,,769,,72092,270,46152,,FA,FKT
10,01/08/2003,59835,,758,,64000,104,41162,,FA,FKT
11,01/09/2003,58603,,743,,55447,58,35554,,FA,FKT
12,01/10/2003,61480,,773,,62865,58,40381,,FA,FKT
13,01/11/2003,54231,,656,,50931,141,34286,,FA,FKT
14,01/12/2003,56589,,687,,56330,183,37553,,FA,FKT
15,01/01/2004,56186,,690,,50075,61,33625,,FA,FKT
16,01/02/2004,50340,,621,,47066,35,31355,,FA,FKT
17,01/03/2004,56737,,701,,57356,36,38286,,FA,FKT
18,01/04/2004,56421,,687,,57307,43,38421,,FA,FKT
19,01/05/2004,57392,,683,,59912,,40018,,FA,FKT
20,01/06/2004,55382,,651,,59962,,40070,,FA,FKT
21,01/07/2004,54610,,641,,58393,,39071,,FA,FKT
22,01/08/2004,53930,,630,,51419,,34625,,FA,FKT
23,01/09/2004,49847,,574,,47245,,32005,,FA,FKT
24,01/10/2004,54755,,633,,56010,,37756,,FA,FKT
25,01/11/2004,53410,,618,,53956,,36278,,FA,FKT
26,01/12/2004,55263,,640,,60175,,40453,,FA,FKT
27,01/01/2005,51011,,592,,46815,,31525,,FA,FKT
28,01/02/2005,47408,,548,,47022,,31421,,FA,FKT
29,01/03/2005,54469,,619,,58225,,38784,,FA,FKT
30,01/04/2005,56520,,620,,56697,146,38066,,FA,FKT
31,01/05/2005,60153,,650,,60327,160,40416,,FA,FKT
32,01/06/2005,65703,,699,,69660,256,47284,,FA,FKT
33,01/07/2005,68125,,722,,71360,341,48682,,FA,FKT
34,01/08/2005,67223,,711,,61817,234,42603,,FA,FKT
35,01/09/2005,64583,,680,,62012,118,42467,,FA,FKT
36,01/10/2005,63408,,668,,66786,178,45712,,FA,FKT
37,01/11/2005,61262,,644,,67391,48,46252,,FA,FKT
38,01/12/2005,61800,,650,,70801,73,48229,,FA,FKT
39,01/01/2006,62079,,655,,57655,35,39429,,FA,FKT
40,01/02/2006,55361,,584,,56441,47,38536,,FA,FKT
41,01/03/2006,62742,,661,,69593,74,47338,,FA,FKT
42,01/04/2006,66036,,696,,74414,87,50720,,FA,FKT
43,01/05/2006,68562,,722,,78972,212,54139,,FA,FKT
44,01/06/2006,67165,,708,,79307,264,54173,,FA,FKT
45,01/07/2006,67248,,710,,76982,361,52706,,FA,FKT
46,01/08/2006,68005,,716,,65043,169,44676,,FA,FKT
47,01/09/2006,62392,,655,,58299,102,39941,,FA,FKT
48,01/10/2006,65455,,687,,65844,131,44926,,FA,FKT
49,01/11/2006,61786,,649,,64960,142,44509,,FA,FKT
50,01/12/2006,63029,,661,,68272,127,46582,,FA,FKT
51,01/01/2007,63259,,664,,60206,118,41131,,FA,FKT
52,01/02/2007,55289,,579,,57392,42,39295,,FA,FKT
53,01/03/2007,63802,,668,,71184,80,48484,,FA,FKT
54,01/04/2007,64960,,676,,69967,35,48008,,FA,FKT
55,01/05/2007,68074,,709,,73728,9,50339,,FA,FKT
56,01/06/2007,65374,,678,,76072,38,52026,,FA,FKT
57,01/07/2007,67771,107,703,1,77005,12,52592,88,FA,FKT
58,01/08/2007,68779,,711,,74170,20,50930,,FA,FKT
59,01/09/2007,64457,,668,,64897,34,44276,,FA,FKT
60,01/10/2007,68466,,707,,71648,56,48898,,FA,FKT
61,01/11/2007,64764,,669,,67568,33,46242,,FA,FKT
62,01/12/2007,66857,,687,,66547,31,45862,,FA,FKT
63,01/01/2008,64953,,669,,57092,7,39242,,FA,FKT
64,01/02/2008,60901,,626,,59175,22,40633,,FA,FKT
65,01/03/2008,64161,,661,,69906,32,48187,,FA,FKT
66,01/04/2008,62835,,645,,63995,161,43962,,FA,FKT
67,01/05/2008,67912,,697,,68133,162,46738,,FA,FKT
68,01/06/2008,66335,,683,,68780,224,47099,,FA,FKT
69,01/07/2008,69194,,710,,69416,267,47691,,FA,FKT
70,01/08/2008,67369,107,692,1,61618,235,42427,60,FA,FKT
71,01/09/2008,65978,,681,,52321,49,35867,,FA,FKT
72,01/10/2008,68695,,708,,59440,30,40489,,FA,FKT
73,01/11/2008,53060,,555,,47032,75,31827,,FA,FKT
74,01/12/2008,54601,,570,,54271,67,36446,,FA,FKT
75,01/01/2009,52903,,554,,44906,51,30282,,FA,FKT
76,01/02/2009,48424,,508,,44844,71,30114,,FA,FKT
77,01/03/2009,54011,,565,,57072,82,38188,,FA,FKT
78,01/04/2009,54179,,567,,61197,56,41005,,FA,FKT
79,01/05/2009,56863,,595,,61885,58,41313,,FA,FKT
80,01/06/2009,53875,,565,,67300,73,45028,,FA,FKT
81,01/07/2009,55769,,586,,64983,157,43628,,FA,FKT
82,01/08/2009,54669,,572,,55009,144,37216,,FA,FKT
83,01/09/2009,51560,,536,,48954,145,33222,,FA,FKT
84,01/10/2009,53947,,560,,55022,134,37390,,FA,FKT
85,01/11/2009,49746,,518,,47385,110,32034,,FA,FKT
86,01/12/2009,48657,,508,,51512,54,34627,,FA,FKT
87,01/01/2010,48024,,503,,47152,22,31864,,FA,FKT
88,01/02/2010,43257,,454,,43117,42,29000,,FA,FKT
89,01/03/2010,50680,,531,,56901,29,38187,,FA,FKT
90,01/04/2010,41749,107,427,1,45132,51,31091,97,FA,FKT
91,01/05/2010,40388,,412,,45812,84,31582,,FA,FKT
92,01/06/2010,39908,,404,,42620,213,29637,,FA,FKT
93,01/07/2010,40742,,412,,46368,330,32299,,FA,FKT
94,01/08/2010,41556,,418,,40127,118,28017,,FA,FKT
95,01/09/2010,40497,,404,,38854,138,27119,,FA,FKT
96,01/10/2010,42193,,421,,46181,109,32086,,FA,FKT
97,01/11/2010,41164,,412,,40992,79,28470,,FA,FKT
98,01/12/2010,43951,,438,,45964,129,31807,,FA,FKT
99,01/01/2011,41915,,418,,35995,32,25309,,FA,FKT
100,01/02/2011,37782,,378,,34060,24,23596,,FA,FKT
101,01/03/2011,43670,,435,,39901,29,27775,,FA,FKT
102,01/04/2011,42582,,425,,42252,444,29500,,FA,FKT
103,01/05/2011,42193,,422,,44746,403,31167,,FA,FKT
104,01/06/2011,44031,,434,,49199,209,34048,,FA,FKT
105,01/07/2011,44486,,439,,50551,65,34667,,FA,FKT
106,01/08/2011,44135,,436,,41232,189,28654,,FA,FKT
107,01/09/2011,42495,,426,,40082,201,27630,,FA,FKT
108,01/10/2011,44227,,443,,46420,190,31943,,FA,FKT
109,01/11/2011,41991,,418,,43833,218,30068,,FA,FKT
110,01/12/2011,45311,,449,,47597,222,32240,,FA,FKT
111,01/01/2012,47536,,474,,39279,50,26826,,FA,FKT
112,01/02/2012,41712,,414,,34833,109,23828,,FA,FKT
113,01/03/2012,47784,,470,,45290,237,31160,,FA,FKT
114,01/04/2012,38000,,378,,36496,60,25327,,FA,FKT
115,01/05/2012,40870,,406,,41541,74,28759,,FA,FKT
116,01/06/2012,39626,,394,,40313,188,27842,,FA,FKT
117,01/07/2012,38715,,385,,39204,298,27209,,FA,FKT
118,01/08/2012,37161,,369,,34557,216,24278,,FA,FKT
119,01/09/2012,35344,,352,,29218,110,20444,,FA,FKT
120,01/10/2012,38684,,385,,37039,97,25786,,FA,FKT
121,01/11/2012,38877,,387,,36367,85,25265,,FA,FKT
122,01/12/2012,41483,,414,,41561,,28488,,FA,FKT
123,01/01/2013,42387,,426,,34681,,24128,,FA,FKT
124,01/02/2013,38150,,385,,33428,,22927,,FA,FKT
125,01/03/2013,42564,,432,,40483,,27744,,FA,FKT
126,01/04/2013,36929,,384,,36335,,25185,,FA,FKT
127,01/05/2013,37555,,393,,41227,,28199,,FA,FKT
128,01/06/2013,37077,,388,,42449,142,29235,,FA,FKT
129,01/07/2013,39514,,408,,41420,212,28963,,FA,FKT
130,01/08/2013,38453,,398,,35129,120,24432,,FA,FKT
131,01/09/2013,35174,,365,,31665,,22067,,FA,FKT
132,01/10/2013,37415,,387,,42063,,29357,,FA,FKT
133,01/11/2013,35374,,366,,36082,,25022,,FA,FKT
134,01/12/2013,35386,,368,,40889,,27830,,FA,FKT
135,01/01/2014,38586,,400,,36528,,25348,,FA,FKT
